date,number_of_checks-no_verification,count-nombre
2021-06-23,1-6,<20
2021-06-23,7-12,<20
2021-06-23,13-30,<20
2021-06-23,30+,<20
2021-06-24,0,<20
2021-06-24,1-6,<20
2021-06-24,7-12,<20
2021-06-24,13-30,<20
2021-06-24,30+,<20
2021-06-25,0,<20
2021-06-25,1-6,<20
2021-06-25,7-12,<20
2021-06-25,13-30,<20
2021-06-25,30+,<20
2021-06-26,0,<20
2021-06-26,1-6,<20
2021-06-26,7-12,<20
2021-06-26,13-30,<20
2021-06-26,30+,<20
2021-06-27,0,<20
2021-06-27,1-6,<20
2021-06-27,7-12,<20
2021-06-27,13-30,<20
2021-06-27,30+,<20
2021-06-28,0,<20
2021-06-28,1-6,<20
2021-06-28,7-12,<20
2021-06-28,13-30,<20
2021-06-28,30+,<20
2021-06-29,0,<20
2021-06-29,1-6,<20
2021-06-29,7-12,<20
2021-06-29,13-30,<20
2021-06-29,30+,<20
2021-06-30,0,<20
2021-06-30,1-6,<20
2021-06-30,7-12,<20
2021-06-30,13-30,<20
2021-06-30,30+,<20
2021-07-01,0,<20
2021-07-01,1-6,<20
2021-07-01,7-12,<20
2021-07-01,13-30,<20
2021-07-01,30+,<20
2021-07-02,0,<20
2021-07-02,1-6,<20
2021-07-02,7-12,<20
2021-07-02,13-30,<20
2021-07-02,30+,<20
2021-07-03,0,<20
2021-07-03,1-6,<20
2021-07-03,7-12,<20
2021-07-03,13-30,<20
2021-07-03,30+,<20
2021-07-04,0,<20
2021-07-04,1-6,<20
2021-07-04,7-12,<20
2021-07-04,13-30,<20
2021-07-04,30+,<20
2021-07-05,0,<20
2021-07-05,1-6,<20
2021-07-05,7-12,<20
2021-07-05,13-30,<20
2021-07-05,30+,<20
2021-07-06,0,<20
2021-07-06,1-6,<20
2021-07-06,7-12,<20
2021-07-06,13-30,<20
2021-07-06,30+,<20
2021-07-07,0,<20
2021-07-07,1-6,<20
2021-07-07,7-12,<20
2021-07-07,13-30,<20
2021-07-07,30+,<20
2021-07-08,0,<20
2021-07-08,1-6,<20
2021-07-08,7-12,<20
2021-07-08,13-30,<20
2021-07-08,30+,<20
2021-07-09,0,<20
2021-07-09,1-6,<20
2021-07-09,7-12,<20
2021-07-09,13-30,<20
2021-07-09,30+,<20
2021-07-10,0,<20
2021-07-10,1-6,<20
2021-07-10,7-12,<20
2021-07-10,13-30,<20
2021-07-10,30+,<20
2021-07-11,0,<20
2021-07-11,1-6,<20
2021-07-11,7-12,<20
2021-07-11,13-30,<20
